stockX,flightClub,goat,lowestResellPrice,imageLinks,_id,shoeName,brand,silhoutte,styleID,make,colorway,retailPrice,thumbnail,releaseDate,description,urlKey,resellLinks
296,304,304,[object Object],,61ae9e9aafe8e57491298155,Jordan 11 Retro Cool Grey (2021),Jordan,Jordan 11 Retro,CT8012-005,Jordan 11 Retro,Medium Grey/Multi-Color/Multi-Color,225,"https://images.stockx.com/images/Air-Jordan-11-Retro-Cool-Grey-2021-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1631898423",2021-12-11,"Released in December 2021, the Air Jordan 11 Retro 'Cool Grey' 2021 brings back a colorway from 2001 and 2010. Faithful to the OG, the shoe's upper is built with leather, finished in grey and supported by a darker grey patent leather mudguard. Tonal webbing eyelets are worked into the lacing system to secure the fit, while underfoot, a contrasting white phylon midsole houses full-length Air for cushioning, with a carbon fiber plate included for added support. An icy translucent rubber outsole provides traction.",air-jordan-11-retro-cool-grey-2021,[object Object]
274,230,275,[object Object],,61ae9e9aafe8e57491298156,Nike Dunk Low Retro White Black (2021),Nike,Nike Dunk Low,DD1391-100,Nike Dunk Low,White/Black,110,"https://images.stockx.com/images/Nike-Dunk-Low-Retro-White-Black-2021-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1633027409",2021-03-10,"The Dunk Low 'Black White' brings a classic two-tone look to its classic basketball construction. The shoe's low-top build emerges in leather, with a white base contrasted by black overlays, with further black on the Swoosh branding. Perforations on the toe box provide breathability, while underfoot, the two-tone look is matched by the tooling, which incorporates a concentric rubber outsole for traction.",nike-dunk-low-retro-white-black-2021,[object Object]
253,246,259,[object Object],,61ae9e9aafe8e57491298157,Jordan 4 Retro Lightning (2021),Jordan,Jordan 4 Retro,CT8527-700,Jordan 4 Retro,Tour Yellow/White-Dark Blue Grey,220,"https://images.stockx.com/images/Air-Jordan-4-Retro-Lightning-2021-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1633023947",2021-08-28,"Bringing back a 2006 colorway, which released alongside the 'Thunder,' the Air Jordan 4 Retro 'Lightning' 2021 features inspiration from Michael Jordan's motorsports team. The shoe's upper is built with nubuck, finished in Tour Yellow and contrasted by the mesh netting and signature wings. Underfoot, a white PU midsole houses visible Air in the heel to provide cushioning, giving way to a herringbone rubber outsole for traction.",air-jordan-4-retro-lightning-2021,[object Object]
193,188,188,[object Object],,61ae9e9aafe8e57491298158,Jordan 1 Retro High OG Bordeaux,Jordan,Jordan 1 Retro High OG,555088-611,Jordan 1 Retro High OG,Bordeaux/White-Metallic Silver,170,"https://images.stockx.com/images/Air-Jordan-1-Retro-High-Bordeaux-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1637086945",2021-11-20,"The Air Jordan 1 Retro High OG 'Bordeaux' emerges with a rich colorway. The shoe's leather upper appears with a white base, overlaid by Bordeaux leather throughout. The Swoosh branding and jewel 'Wings' logo add metallic silver to the look, with a lightly padded nylon tongue supporting the fit. Underfoot, Air in the heel of the midsole offers cushioning, giving way to a concentric rubber outsole for traction.",air-jordan-1-retro-high-bordeaux,[object Object]
187,189,189,[object Object],,61ae9e9aafe8e57491298159,adidas Yeezy Foam RNNR Ochre,adidas,adidas Yeezy Foam RNNR,GW3354,adidas Yeezy Foam RNNR,Ochre/Ochre/Ochre,80,"https://images.stockx.com/images/adidas-Yeezy-Foam-RNNR-Ochre-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1633023377",2021-08-02,"Offering a futuristic aesthetic with a subdued, monochromatic finish is the adidas Yeezy Foam Runner 'Ochre.' A dark beige hue covers the one-piece foam build that has ventilation ports of varying shapes and dimensions that increase airflow while adding to the slip-on's flowing lines. 'FOAM RNNR' is seen on the interior collar with the shoe size and 'Made in USA' branding. The outsole features a wavy traction pattern for a better grip.",adidas-yeezy-foam-rnnr-ochre,[object Object]
200,245,245,[object Object],,61ae9e9aafe8e5749129815a,Jordan 12 Retro Royalty Taxi,Jordan,Jordan 12 Retro,CT8013-170,Jordan 12 Retro,White/Black-Metallic Gold,190,"https://images.stockx.com/images/Air-Jordan-12-Retro-Royalty-Taxi-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1635280285",2021-11-13,"The Air Jordan 12 Retro 'Royalty' brings a luxe look to its classic basketball construction. The shoe's upper is built with tumbled leather, finished primarily in white and contrasted by black on the basketball-textured mudguard. The classic radiating stitching remains intact, while the upper eyelets, TPU insert and branding add metallic gold to the look. Underfoot, full-length Zoom Air provides cushioning, working with a carbon-fiber plate for stability and a herringbone rubber outsole for traction.",air-jordan-12-retro-royalty-taxi,[object Object]
155,,,[object Object],,61ae9e9aafe8e5749129815b,adidas Yeezy Slide Pure,adidas,adidas Yeezy Slide,GZ5554/GW1934,adidas Yeezy Slide,Pure/Pure/Pure,55,"https://images.stockx.com/images/adidas-Yeezy-Slide-Pure-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1619634941",2021-04-26,"DISCLAIMER: US and UK sizing is the same and does not require any conversion. 
<br> 
<br>
The adidas Yeezy Slide Pure is constructed of Pure EVA foam with a soft footbed that offers an immediate step in comfort. An outsole with accentuated grooves for traction and support adds the finishing touches to the design.
<br>
<br>
The adidas Yeezy Slide Pure released in April of 2021 and retailed for $60.",adidas-yeezy-slide-pure,[object Object]
250,245,245,[object Object],,61ae9e9aafe8e5749129815c,adidas Yeezy Boost 350 V2 Light,adidas,adidas Yeezy Boost 350 V2,GY3438,adidas Yeezy Boost 350 V2,Light/Light/Light,220,"https://images.stockx.com/images/adidas-Yeezy-Boost-350-V2-Light-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1629383966",2021-08-28,"The Yeezy Boost 350 V2 'Light' features a clean colorway with unique detailing. While the shoe's upper, built with Primeknit, appears in white, but when exposed to sunlight, the knit construction appears in pink. The monofilament stripe also changes color, turning to amber, while underfoot, the usual tooling provides cushioning, consisting of a full-length Boost midsole wrapped in a rubber cage.",adidas-yeezy-boost-350-v2-light,[object Object]
180,209,210,[object Object],,61ae9e9aafe8e5749129815d,Jordan 3 Retro Pine Green,Jordan,Jordan 3 Retro,CT8532-030,Jordan 3 Retro,Black/Silver/White/Pine Green,190,"https://images.stockx.com/images/Air-Jordan-3-Retro-Pine-Green-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1634917350",2021-10-30,"The Air Jordan 3 Retro 'Pine Green' combines updated materials with OG color blocking. The upper's traditional leather construction is replaced with textured nubuck. Pops of green appear on the perforated leather collar, molded eyelets and embroidered Jumpman branding on the tongue. The 3's classic elephant print arrives on the forefoot and heel overlays, with a second Jumpman icon displayed on the molded heel tab. The theme continues underfoot in the form of a white polyurethane midsole with contrast green accents and a grey rubber outsole.",air-jordan-3-retro-pine-green,[object Object]
229,200,227,[object Object],,61ae9e9aafe8e5749129815e,Nike Dunk Low Georgetown,Nike,Nike Dunk Low,DD1391-003,Nike Dunk Low,Midnight Navy/Championship Grey-White,100,"https://images.stockx.com/images/Nike-Dunk-Low-Georgetown-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1634918141",2021-11-05,"Giving the nod to the Georgetown Hoyas, the Dunk Low 'Georgetown' features a 'Be True to Your School'-style look on its classic basketball construction. Built entirely with leather, the shoe's upper sports a Wolf Grey base, complemented by Dark Obsidian overlays throughout. Perforations on the toe box are included for breathability, while underfoot, a contrasting white rubber midsole gives way to a concentric rubber outsole for traction.",nike-dunk-low-georgetown,[object Object]
